n,Nome,preço,Mkt Share,Segmento,Cals,Gordura,Acucar
1,KG Corn Flakes,1.81,5.67,Fam,100,0,2
2,GM Cheerios,3.16,4.38,Fam,110,2,1
3,KG Rice Krispies,2.96,4.04,Fam,120,0,3
4,KG Frosted Flakes,2.52,3.82,Fam,120,0,13
5,KG Raisin Bran,2.34,2.73,Fam,200,1.5,18
6,GM Total,3.61,2.36,Adult,110,1,5
7,GM HoneyNut Cheerios,3.14,2.26,Fam,120,1.5,11
8,KG Special K,3.48,2.16,Adult,110,0,3
9,PT Grape Nuts,2.14,2.12,Adult,200,1,7
10,NB SpoonSize ShdWt,2.81,2.08,Adult,170,0.5,0
11,QK 100% Natural,2.24,1.96,Adult,220,8,13.5
12,KG Frosted Mini Wheats,2.62,1.84,Adult,170,1,10
13,KG NutriGrain,2.87,1.55,Adult,100,1,0
14,KG Muesliz,3.31,1.53,Adult,200,4,13
15,GM Wheaties,2.55,1.52,Fam,110,1,4
16,PT Raisin Bran,2.23,1.46,Fam,190,1,20
17,RL Muesli,3.34,1.26,Adult,210,2.7,14
18,KG Corn Pops,3.51,1.46,Fam,120,0,14
19,GM Raisin Nut Bran,2.98,1.35,Adult,210,4.5,16
20,GM Basic 4,3.27,1.31,Adult,210,3,12
21,GM Cocoa Puffs,3.46,1.28,Kids,120,1,14
22,GM Golden Grahams,3.24,1.24,Kids,120,1,11
23,GM Cinn. Toast Crunch,3.36,1.23,Kids,130,3,10
24,KG Froot Loops,3.53,1.2,Kids,120,1,15
25,KG Low Fat Granola,2.68,1.17,Adult,190,3,12
26,GM Trix,3.96,1.13,Kids,120,1.5,13
27,GM Triples,2.33,1.12,Adult,120,1,6
28,KG Crispix,3.28,1.12,Adult,110,0,3
29,GM Kix,3.67,1.08,Kids,120,0.8,6
30,GM Lucky Charms,3.45,1.08,Kids,120,1,13
31,GM AppleCinn. Cheerios,3.02,1.06,Fam,120,2,13
32,KG Cracklin Oat Bran,3.19,1.06,Adult,190,6,15
33,NB Big Biscuit Shd Wt,2.79,0.99,Adult,156,1.2,9.6
34,PT Honey Bunches of Oats,2.85,0.95,Adult,125,2.2,6
35,PT Great Graines,2.9,0.89,Adult,215,5.5,10.5
36,GM Otml Raisin Crisp,2.71,0.97,Adult,210,2.5,19
37,QK Oat Squares,2.43,0.94,Adult,220,3,9
38,RL Rice Chex,3.4,0.89,Adult,120,0,2
39,GM Total Raisin Bran,3,0.89,Adult,180,1,19
40,KG Product 19,3.38,0.89,Adult,100,0,4
41,KG Apple Jacks,3.64,0.84,Kids,120,1,16
42,QK Capt Crunch,2.55,0.83,Kids,105,1.5,11.5
43,NB Shredded Wheat,2.82,0.8,Adult,160,0.5,0
44,PT Fuity Pebbles,3.21,0.83,Kids,110,1,12
45,GM Clusters,3.14,0.78,Fam,210,3.5,14
46,KG Cinnamon MiniBuns,2.75,0.76,Fam,120,0.5,12
47,KG Double Dip Crunch,3.01,0.73,Adult,110,0,11
48,GM MultiGrain Cheerios,3.34,0.75,Fam,110,1,15
49,PT Honeycomb,3.4,0.74,Kids,110,0,11
50,QK Popeye,1.77,0.67,Kids,120,1,13.3
51,Todas as outras marcas,2.68,24.29,,,,
